ACCx,ACCy,ACCz,GYROx,GYROy,GYROz,Magx,Magy,Magz,时间[yyyy-mm-dd|hh:mm:ss.ss]
加速度分辨率: 16384LBS/g,陀螺仪分辨率: 32.8LBS/dps
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:07.989
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:08.0
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:08.19
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:08.32
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:08.44
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:08.60
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:08.80
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:08.97
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:08.106
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:08.119
0,0,0,0,0,0,2,104,0,2016/8/6|23:03:08.135
0,0,0,0,0,0,7,104,0,2016/8/6|23:03:08.151
0,0,0,0,0,0,11,104,0,2016/8/6|23:03:08.162
0,0,0,0,0,0,16,104,0,2016/8/6|23:03:08.193
0,0,0,0,0,0,20,104,0,2016/8/6|23:03:08.206
0,0,0,0,0,0,25,104,0,2016/8/6|23:03:08.206
0,0,0,0,0,0,29,104,0,2016/8/6|23:03:08.225
0,0,0,0,0,0,34,104,0,2016/8/6|23:03:08.248
0,0,0,0,0,0,38,104,0,2016/8/6|23:03:08.264
0,0,0,0,0,0,43,104,0,2016/8/6|23:03:08.284
0,0,0,0,0,0,47,104,0,2016/8/6|23:03:08.293
0,0,0,0,0,0,51,104,0,2016/8/6|23:03:08.313
0,0,0,0,0,0,53,0,0,2016/8/6|23:03:08.350
0,0,0,0,0,0,53,0,0,2016/8/6|23:03:08.350
0,0,0,0,0,0,56,104,0,2016/8/6|23:03:08.363
0,0,0,0,0,0,60,104,0,2016/8/6|23:03:08.380
0,0,0,0,0,0,65,104,0,2016/8/6|23:03:08.386
0,0,0,0,0,0,69,104,0,2016/8/6|23:03:08.409
0,0,0,0,0,0,74,104,0,2016/8/6|23:03:08.410
0,0,0,0,0,0,78,104,0,2016/8/6|23:03:08.423
0,0,0,0,0,0,80,0,0,2016/8/6|23:03:08.438
0,0,0,0,0,0,80,0,0,2016/8/6|23:03:08.453
0,0,0,0,0,0,80,0,0,2016/8/6|23:03:08.477
0,0,0,0,0,0,78,0,0,2016/8/6|23:03:08.489
0,0,0,0,0,0,80,209,0,2016/8/6|23:03:08.499
0,0,0,0,0,0,84,209,0,2016/8/6|23:03:08.509
0,0,0,0,0,0,89,209,0,2016/8/6|23:03:08.526
0,0,0,0,0,0,93,209,0,2016/8/6|23:03:08.538
0,0,0,0,0,0,104,417,0,2016/8/6|23:03:08.565
